entry_time,exit_time,entry_price,exit_price,size,direction,pnl
2024-10-15 13:00:00+00:00,2024-10-16 04:00:00+00:00,67733.4455,66992.044,0.02952751015744504,1,-21.8917403219952
2024-10-16 11:00:00+00:00,2024-10-16 14:00:00+00:00,67911.065,67627.035,0.02944383459740412,1,-8.362932340700658
2024-10-17 04:00:00+00:00,2024-10-18 01:00:00+00:00,67233.415,68049.7,0.029738113206755096,-1,-24.27477573897619
2024-10-20 22:00:00+00:00,2024-10-21 06:00:00+00:00,69110.02,68750.0,0.028923583165392897,1,-10.413068411204868
2024-10-21 07:00:00+00:00,2024-10-22 21:00:00+00:00,68502.245,67484.311,0.02917716272895498,-1,29.700425965335878
2024-10-23 03:00:00+00:00,2024-10-24 00:00:00+00:00,67023.33,67298.0915,0.029829839224387224,-1,-8.196091370051269
2024-10-24 19:00:00+00:00,2024-10-25 04:00:00+00:00,68259.5,67704.25,0.02928722355651079,1,-16.261730879752616
2024-10-25 15:00:00+00:00,2024-10-26 11:00:00+00:00,67662.8695,67082.4115,0.029540662648634097,-1,17.147113959700814
2024-10-27 12:00:00+00:00,2024-10-29 12:00:00+00:00,67313.745,71066.307,0.029698970752812037,1,111.447229086114
2024-10-30 11:00:00+00:00,2024-11-01 13:00:00+00:00,71946.25,71159.6,0.027817681791600945,-1,21.88277938136272
2024-11-01 20:00:00+00:00,2024-11-02 07:00:00+00:00,69185.205,69779.456,0.028934156431083737,-1,-17.194151393328053
2024-11-03 01:00:00+00:00,2024-11-03 21:00:00+00:00,69002.985,69110.165,0.029005580862316756,-1,-3.1088181568229074
2024-11-04 14:00:00+00:00,2024-11-05 06:00:00+00:00,68345.2415,68753.1085,0.029283816120477,-1,-11.943902229610545
2024-11-05 14:00:00+00:00,2024-11-06 14:00:00+00:00,69969.4025,73659.226,0.02860065307476367,1,105.53136183061021
2024-11-07 13:00:00+00:00,2024-11-07 15:00:00+00:00,74703.483,76114.35,0.02681643684522198,-1,-37.83442580250815
2024-11-07 17:00:00+00:00,2024-11-07 22:00:00+00:00,76348.905,75910.6845,0.02622859549159957,1,-11.493908230626399
2024-11-10 00:00:00+00:00,2024-11-14 14:00:00+00:00,76963.025,88784.4315,0.02601631974973634,1,307.5494913956118
2024-11-15 01:00:00+00:00,2024-11-15 11:00:00+00:00,88116.051,89686.716,0.022793187329001652,-1,-35.80046157610624
2024-11-15 16:00:00+00:00,2024-11-16 13:00:00+00:00,89404.9355,90784.306,0.022456586279885424,1,30.975952645178474
2024-11-16 15:00:00+00:00,2024-11-16 21:00:00+00:00,90545.2805,90902.856,0.022180605724185096,-1,-7.931241182128487
